Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
ROP,1.36,0.87,0.49,0.28,0.01,0.05,-0.31,-0.25,-0.07,0.13,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BBY,2.73,1.91,0.82,0.28,0.03,0.09,1.53,0.88,0.65,0.22,0.02,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AAL,2.77,1.26,1.51,0.28,0.03,0.10,2.20,0.69,1.51,0.26,0.03,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
APTV,2.06,0.64,1.42,0.28,0.02,0.07,0.81,-0.26,1.08,0.22,0.02,0.00,150.00,2013-11-18 00:00:00,2023-11-15 00:00:00
AMZN,1.81,1.08,0.73,0.28,0.02,0.07,-0.78,-0.79,0.02,0.12,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VLO,2.83,0.85,1.98,0.28,0.03,0.11,0.94,-0.07,1.01,0.18,0.02,0.02,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MMC,1.08,0.31,0.77,0.28,0.01,0.04,-0.57,-0.58,0.01,0.12,0.00,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PEAK,1.39,0.94,0.45,0.28,0.01,0.05,1.64,0.92,0.72,0.29,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GLW,1.42,0.84,0.58,0.28,0.02,0.06,0.46,0.20,0.26,0.21,0.01,-0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WEC,1.09,0.64,0.45,0.28,0.01,0.04,0.13,-0.15,0.28,0.19,0.01,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CVS,1.46,0.78,0.68,0.28,0.01,0.05,1.08,0.58,0.50,0.25,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NWS,1.84,0.91,0.93,0.28,0.02,0.06,1.19,0.99,0.20,0.23,0.01,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ON,2.99,1.93,1.06,0.28,0.03,0.10,-0.43,0.28,-0.71,0.13,0.01,0.01,151.00,2013-11-18 00:00:00,2023-11-15 00:00:00
STE,1.21,0.65,0.56,0.28,0.01,0.04,-0.62,-0.67,0.05,0.13,0.00,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KR,2.01,1.64,0.37,0.28,0.02,0.07,0.85,1.17,-0.32,0.20,0.01,0.01,159.00,2013-11-18 00:00:00,2023-11-15 00:00:00
